07/22 05:21:40 AM | 
07/22 05:27:33 AM | NAME=cifar100
07/22 05:27:33 AM | PATH=augments/cifar100
07/22 05:27:33 AM | PRINT_FREQ=200
07/22 05:27:33 AM | SEED=2
07/22 05:27:33 AM | WEIGHT_DECAY=0.0003
07/22 05:27:33 AM | WORKERS=4
07/22 05:27:33 AM | 
07/22 05:27:33 AM | Logger is set - training start
07/22 05:27:40 AM | Model size = 2.248 MB
07/22 05:27:40 AM | Epoch 0 LR 0.024999828653092835
07/22 05:27:41 AM | Train: [  1/600] Step 000/520 Loss 6.536 Prec@(1,5) (1.0%, 5.2%)
07/22 05:28:10 AM | Train: [  1/600] Step 200/520 Loss 5.782 Prec@(1,5) (6.8%, 23.4%)
07/22 05:28:39 AM | Train: [  1/600] Step 400/520 Loss 5.500 Prec@(1,5) (9.4%, 29.7%)
07/22 05:29:01 AM | Train: [  1/600] Step 520/520 Loss 5.369 Prec@(1,5) (10.8%, 32.5%)
07/22 05:29:01 AM | Train: [  1/600] Final Prec@1 10.8380%
07/22 05:29:01 AM | Valid: [  1/600] Step 000/104 Loss 3.722 Prec@(1,5) (16.7%, 35.4%)
07/22 05:29:06 AM | Valid: [  1/600] Step 104/104 Loss 3.690 Prec@(1,5) (16.5%, 43.2%)
07/22 05:29:06 AM | Valid: [  1/600] Final Prec@1 16.4600%
07/22 05:29:06 AM | Epoch 1 LR 0.024999314617068905
07/22 05:29:07 AM | Train: [  2/600] Step 000/520 Loss 4.920 Prec@(1,5) (19.8%, 40.6%)
07/22 05:29:38 AM | Train: [  2/600] Step 200/520 Loss 4.637 Prec@(1,5) (19.2%, 47.9%)
07/22 05:30:09 AM | Train: [  2/600] Step 400/520 Loss 4.531 Prec@(1,5) (20.5%, 50.0%)
07/22 05:30:27 AM | Train: [  2/600] Step 520/520 Loss 4.463 Prec@(1,5) (21.3%, 51.3%)
07/22 05:30:27 AM | Train: [  2/600] Final Prec@1 21.3360%
07/22 05:30:27 AM | Valid: [  2/600] Step 000/104 Loss 3.111 Prec@(1,5) (28.1%, 57.3%)
07/22 05:30:31 AM | Valid: [  2/600] Step 104/104 Loss 3.019 Prec@(1,5) (25.4%, 58.0%)
07/22 05:30:31 AM | Valid: [  2/600] Final Prec@1 25.3700%
07/22 05:30:31 AM | Epoch 2 LR 0.02499845790602076
07/22 05:30:32 AM | Train: [  3/600] Step 000/520 Loss 4.517 Prec@(1,5) (16.7%, 40.6%)
07/22 05:31:03 AM | Train: [  3/600] Step 200/520 Loss 4.029 Prec@(1,5) (27.6%, 59.3%)
07/22 05:31:34 AM | Train: [  3/600] Step 400/520 Loss 3.928 Prec@(1,5) (28.9%, 60.9%)
07/22 05:31:51 AM | Train: [  3/600] Step 520/520 Loss 3.875 Prec@(1,5) (29.7%, 61.8%)
07/22 05:31:51 AM | Train: [  3/600] Final Prec@1 29.6880%
07/22 05:31:51 AM | Valid: [  3/600] Step 000/104 Loss 2.970 Prec@(1,5) (30.2%, 64.6%)
07/22 05:31:55 AM | Valid: [  3/600] Step 104/104 Loss 2.732 Prec@(1,5) (31.4%, 64.9%)
07/22 05:31:55 AM | Valid: [  3/600] Final Prec@1 31.4000%
07/22 05:31:56 AM | Epoch 3 LR 0.024997258543435572
07/22 05:31:56 AM | Train: [  4/600] Step 000/520 Loss 3.702 Prec@(1,5) (35.4%, 65.6%)
07/22 05:32:26 AM | Train: [  4/600] Step 200/520 Loss 3.560 Prec@(1,5) (34.1%, 67.2%)
07/22 05:32:59 AM | Train: [  4/600] Step 400/520 Loss 3.516 Prec@(1,5) (34.9%, 67.9%)
07/22 05:33:19 AM | Train: [  4/600] Step 520/520 Loss 3.485 Prec@(1,5) (35.3%, 68.4%)
07/22 05:33:20 AM | Train: [  4/600] Final Prec@1 35.2920%
07/22 05:33:20 AM | Valid: [  4/600] Step 000/104 Loss 2.708 Prec@(1,5) (34.4%, 67.7%)
07/22 05:33:24 AM | Valid: [  4/600] Step 104/104 Loss 2.520 Prec@(1,5) (37.3%, 70.6%)
07/22 05:33:24 AM | Valid: [  4/600] Final Prec@1 37.2600%
07/22 05:33:24 AM | Epoch 4 LR 0.024995716562194466
07/22 05:33:25 AM | Train: [  5/600] Step 000/520 Loss 3.455 Prec@(1,5) (39.6%, 68.8%)
07/22 05:33:54 AM | Train: [  5/600] Step 200/520 Loss 3.257 Prec@(1,5) (38.9%, 72.3%)
07/22 05:34:24 AM | Train: [  5/600] Step 400/520 Loss 3.221 Prec@(1,5) (39.8%, 72.5%)
07/22 05:34:43 AM | Train: [  5/600] Step 520/520 Loss 3.206 Prec@(1,5) (39.9%, 72.8%)
07/22 05:34:43 AM | Train: [  5/600] Final Prec@1 39.9140%
07/22 05:34:43 AM | Valid: [  5/600] Step 000/104 Loss 2.327 Prec@(1,5) (41.7%, 75.0%)
07/22 05:34:47 AM | Valid: [  5/600] Step 104/104 Loss 2.269 Prec@(1,5) (40.6%, 73.3%)
07/22 05:34:47 AM | Valid: [  5/600] Final Prec@1 40.5800%
07/22 05:34:47 AM | Epoch 5 LR 0.024993832004571646
07/22 05:34:48 AM | Train: [  6/600] Step 000/520 Loss 3.077 Prec@(1,5) (37.5%, 78.1%)
07/22 05:35:20 AM | Train: [  6/600] Step 200/520 Loss 3.015 Prec@(1,5) (43.0%, 75.8%)
07/22 05:35:49 AM | Train: [  6/600] Step 400/520 Loss 3.025 Prec@(1,5) (42.8%, 75.7%)
07/22 05:36:07 AM | Train: [  6/600] Step 520/520 Loss 3.007 Prec@(1,5) (43.1%, 75.9%)
07/22 05:36:07 AM | Train: [  6/600] Final Prec@1 43.0940%
07/22 05:36:07 AM | Valid: [  6/600] Step 000/104 Loss 2.359 Prec@(1,5) (44.8%, 76.0%)
07/22 05:36:11 AM | Valid: [  6/600] Step 104/104 Loss 2.255 Prec@(1,5) (42.3%, 75.3%)
07/22 05:36:11 AM | Valid: [  6/600] Final Prec@1 42.2700%
07/22 05:36:11 AM | Epoch 6 LR 0.0249916049222332
07/22 05:36:12 AM | Train: [  7/600] Step 000/520 Loss 2.781 Prec@(1,5) (47.9%, 78.1%)
07/22 05:36:44 AM | Train: [  7/600] Step 200/520 Loss 2.868 Prec@(1,5) (45.4%, 77.8%)
07/22 05:37:17 AM | Train: [  7/600] Step 400/520 Loss 2.847 Prec@(1,5) (45.9%, 77.9%)
07/22 05:37:36 AM | Train: [  7/600] Step 520/520 Loss 2.842 Prec@(1,5) (46.0%, 77.9%)
07/22 05:37:36 AM | Train: [  7/600] Final Prec@1 45.9840%
07/22 05:37:36 AM | Valid: [  7/600] Step 000/104 Loss 1.990 Prec@(1,5) (51.0%, 75.0%)
07/22 05:37:40 AM | Valid: [  7/600] Step 104/104 Loss 2.027 Prec@(1,5) (47.9%, 78.5%)
07/22 05:37:40 AM | Valid: [  7/600] Final Prec@1 47.8900%
07/22 05:37:41 AM | Epoch 7 LR 0.024989035376235726
07/22 05:37:41 AM | Train: [  8/600] Step 000/520 Loss 2.961 Prec@(1,5) (36.5%, 78.1%)
07/22 05:38:11 AM | Train: [  8/600] Step 200/520 Loss 2.734 Prec@(1,5) (48.0%, 79.5%)
07/22 05:38:42 AM | Train: [  8/600] Step 400/520 Loss 2.723 Prec@(1,5) (48.1%, 79.6%)
07/22 05:39:02 AM | Train: [  8/600] Step 520/520 Loss 2.719 Prec@(1,5) (48.2%, 79.6%)
07/22 05:39:02 AM | Train: [  8/600] Final Prec@1 48.1660%
07/22 05:39:02 AM | Valid: [  8/600] Step 000/104 Loss 1.798 Prec@(1,5) (58.3%, 81.2%)
07/22 05:39:07 AM | Valid: [  8/600] Step 104/104 Loss 1.874 Prec@(1,5) (50.2%, 80.7%)
07/22 05:39:07 AM | Valid: [  8/600] Final Prec@1 50.1800%
07/22 05:39:07 AM | Epoch 8 LR 0.02498612343702462
07/22 05:39:07 AM | Train: [  9/600] Step 000/520 Loss 2.675 Prec@(1,5) (44.8%, 79.2%)
07/22 05:39:37 AM | Train: [  9/600] Step 200/520 Loss 2.604 Prec@(1,5) (49.8%, 81.0%)
07/22 05:40:06 AM | Train: [  9/600] Step 400/520 Loss 2.606 Prec@(1,5) (49.9%, 81.0%)
07/22 05:40:25 AM | Train: [  9/600] Step 520/520 Loss 2.610 Prec@(1,5) (49.7%, 81.1%)
07/22 05:40:25 AM | Train: [  9/600] Final Prec@1 49.7240%
07/22 05:40:25 AM | Valid: [  9/600] Step 000/104 Loss 1.777 Prec@(1,5) (52.1%, 85.4%)
07/22 05:40:29 AM | Valid: [  9/600] Step 104/104 Loss 1.891 Prec@(1,5) (50.1%, 80.0%)
07/22 05:40:29 AM | Valid: [  9/600] Final Prec@1 50.1100%
07/22 05:40:29 AM | Epoch 9 LR 0.024982869184432165
07/22 05:40:30 AM | Train: [ 10/600] Step 000/520 Loss 2.358 Prec@(1,5) (58.3%, 79.2%)
07/22 05:41:03 AM | Train: [ 10/600] Step 200/520 Loss 2.499 Prec@(1,5) (51.9%, 82.3%)
07/22 05:41:33 AM | Train: [ 10/600] Step 400/520 Loss 2.504 Prec@(1,5) (51.7%, 82.2%)
07/22 05:41:51 AM | Train: [ 10/600] Step 520/520 Loss 2.502 Prec@(1,5) (51.8%, 82.3%)
07/22 05:41:51 AM | Train: [ 10/600] Final Prec@1 51.7820%
07/22 05:41:51 AM | Valid: [ 10/600] Step 000/104 Loss 1.881 Prec@(1,5) (55.2%, 79.2%)
07/22 05:41:55 AM | Valid: [ 10/600] Step 104/104 Loss 1.832 Prec@(1,5) (51.9%, 81.4%)
07/22 05:41:55 AM | Valid: [ 10/600] Final Prec@1 51.8900%
07/22 05:41:55 AM | Epoch 10 LR 0.02497927270767535
07/22 05:41:56 AM | Train: [ 11/600] Step 000/520 Loss 2.272 Prec@(1,5) (58.3%, 83.3%)
07/22 05:42:27 AM | Train: [ 11/600] Step 200/520 Loss 2.389 Prec@(1,5) (53.6%, 83.7%)
07/22 05:42:59 AM | Train: [ 11/600] Step 400/520 Loss 2.412 Prec@(1,5) (53.5%, 83.3%)
07/22 05:43:17 AM | Train: [ 11/600] Step 520/520 Loss 2.419 Prec@(1,5) (53.4%, 83.2%)
07/22 05:43:17 AM | Train: [ 11/600] Final Prec@1 53.4080%
07/22 05:43:17 AM | Valid: [ 11/600] Step 000/104 Loss 1.916 Prec@(1,5) (52.1%, 75.0%)
07/22 05:43:21 AM | Valid: [ 11/600] Step 104/104 Loss 1.903 Prec@(1,5) (51.0%, 80.3%)
07/22 05:43:22 AM | Valid: [ 11/600] Final Prec@1 51.0300%
07/22 05:43:22 AM | Epoch 11 LR 0.02497533410535339
07/22 05:43:22 AM | Train: [ 12/600] Step 000/520 Loss 2.331 Prec@(1,5) (53.1%, 83.3%)
07/22 05:43:52 AM | Train: [ 12/600] Step 200/520 Loss 2.335 Prec@(1,5) (54.4%, 84.5%)
07/22 05:44:22 AM | Train: [ 12/600] Step 400/520 Loss 2.349 Prec@(1,5) (54.2%, 84.2%)
07/22 05:44:41 AM | Train: [ 12/600] Step 520/520 Loss 2.357 Prec@(1,5) (54.1%, 84.1%)
07/22 05:44:41 AM | Train: [ 12/600] Final Prec@1 54.0740%
07/22 05:44:41 AM | Valid: [ 12/600] Step 000/104 Loss 1.542 Prec@(1,5) (59.4%, 85.4%)
07/22 05:44:45 AM | Valid: [ 12/600] Step 104/104 Loss 1.639 Prec@(1,5) (55.4%, 85.5%)
07/22 05:44:45 AM | Valid: [ 12/600] Final Prec@1 55.4200%
07/22 05:44:45 AM | Epoch 12 LR 0.024971053485445063
07/22 05:44:46 AM | Train: [ 13/600] Step 000/520 Loss 2.174 Prec@(1,5) (53.1%, 86.5%)
07/22 05:45:16 AM | Train: [ 13/600] Step 200/520 Loss 2.257 Prec@(1,5) (56.2%, 85.2%)
07/22 05:45:46 AM | Train: [ 13/600] Step 400/520 Loss 2.276 Prec@(1,5) (55.7%, 84.9%)
07/22 05:46:03 AM | Train: [ 13/600] Step 520/520 Loss 2.275 Prec@(1,5) (55.8%, 85.0%)
07/22 05:46:03 AM | Train: [ 13/600] Final Prec@1 55.7500%
07/22 05:46:04 AM | Valid: [ 13/600] Step 000/104 Loss 1.616 Prec@(1,5) (55.2%, 83.3%)
07/22 05:46:08 AM | Valid: [ 13/600] Step 104/104 Loss 1.591 Prec@(1,5) (56.6%, 84.9%)
07/22 05:46:08 AM | Valid: [ 13/600] Final Prec@1 56.6400%
07/22 05:46:09 AM | Epoch 13 LR 0.024966430965305722
07/22 05:46:09 AM | Train: [ 14/600] Step 000/520 Loss 2.493 Prec@(1,5) (54.2%, 83.3%)
07/22 05:46:44 AM | Train: [ 14/600] Step 200/520 Loss 2.207 Prec@(1,5) (57.1%, 85.8%)
07/22 05:47:15 AM | Train: [ 14/600] Step 400/520 Loss 2.211 Prec@(1,5) (56.8%, 85.7%)
07/22 05:47:33 AM | Train: [ 14/600] Step 520/520 Loss 2.216 Prec@(1,5) (56.9%, 85.6%)
07/22 05:47:33 AM | Train: [ 14/600] Final Prec@1 56.9240%
07/22 05:47:33 AM | Valid: [ 14/600] Step 000/104 Loss 1.614 Prec@(1,5) (57.3%, 85.4%)
07/22 05:47:37 AM | Valid: [ 14/600] Step 104/104 Loss 1.602 Prec@(1,5) (56.8%, 85.8%)
07/22 05:47:37 AM | Valid: [ 14/600] Final Prec@1 56.8100%
07/22 05:47:38 AM | Epoch 14 LR 0.024961466671664097
07/22 05:47:38 AM | Train: [ 15/600] Step 000/520 Loss 2.139 Prec@(1,5) (60.4%, 86.5%)
07/22 05:48:08 AM | Train: [ 15/600] Step 200/520 Loss 2.138 Prec@(1,5) (58.0%, 86.5%)
07/22 05:48:41 AM | Train: [ 15/600] Step 400/520 Loss 2.155 Prec@(1,5) (58.2%, 86.2%)
07/22 05:48:59 AM | Train: [ 15/600] Step 520/520 Loss 2.162 Prec@(1,5) (58.0%, 86.2%)
07/22 05:49:00 AM | Train: [ 15/600] Final Prec@1 57.9540%
07/22 05:49:00 AM | Valid: [ 15/600] Step 000/104 Loss 1.618 Prec@(1,5) (56.2%, 81.2%)
07/22 05:49:04 AM | Valid: [ 15/600] Step 104/104 Loss 1.659 Prec@(1,5) (55.9%, 84.9%)
07/22 05:49:04 AM | Valid: [ 15/600] Final Prec@1 55.8900%
07/22 05:49:04 AM | Epoch 15 LR 0.024956160740618804
07/22 05:49:05 AM | Train: [ 16/600] Step 000/520 Loss 2.010 Prec@(1,5) (64.6%, 90.6%)
07/22 05:49:35 AM | Train: [ 16/600] Step 200/520 Loss 2.099 Prec@(1,5) (59.4%, 86.9%)
07/22 05:50:05 AM | Train: [ 16/600] Step 400/520 Loss 2.106 Prec@(1,5) (58.9%, 86.7%)
07/22 05:50:24 AM | Train: [ 16/600] Step 520/520 Loss 2.115 Prec@(1,5) (58.8%, 86.6%)
07/22 05:50:24 AM | Train: [ 16/600] Final Prec@1 58.7860%
07/22 05:50:24 AM | Valid: [ 16/600] Step 000/104 Loss 1.358 Prec@(1,5) (68.8%, 86.5%)
07/22 05:50:29 AM | Valid: [ 16/600] Step 104/104 Loss 1.502 Prec@(1,5) (59.0%, 86.6%)
07/22 05:50:29 AM | Valid: [ 16/600] Final Prec@1 59.0100%
07/22 05:50:29 AM | Epoch 16 LR 0.02495051331763462
07/22 05:50:29 AM | Train: [ 17/600] Step 000/520 Loss 2.129 Prec@(1,5) (62.5%, 90.6%)
07/22 05:51:00 AM | Train: [ 17/600] Step 200/520 Loss 2.056 Prec@(1,5) (59.9%, 87.9%)
07/22 05:51:31 AM | Train: [ 17/600] Step 400/520 Loss 2.075 Prec@(1,5) (59.5%, 87.4%)
07/22 05:51:48 AM | Train: [ 17/600] Step 520/520 Loss 2.077 Prec@(1,5) (59.4%, 87.3%)
07/22 05:51:48 AM | Train: [ 17/600] Final Prec@1 59.4420%
07/22 05:51:49 AM | Valid: [ 17/600] Step 000/104 Loss 1.554 Prec@(1,5) (60.4%, 87.5%)
07/22 05:51:53 AM | Valid: [ 17/600] Step 104/104 Loss 1.480 Prec@(1,5) (59.8%, 87.6%)
07/22 05:51:53 AM | Valid: [ 17/600] Final Prec@1 59.8100%
07/22 05:51:53 AM | Epoch 17 LR 0.0249445245575385
07/22 05:51:54 AM | Train: [ 18/600] Step 000/520 Loss 2.130 Prec@(1,5) (61.5%, 86.5%)
07/22 05:52:26 AM | Train: [ 18/600] Step 200/520 Loss 2.026 Prec@(1,5) (60.4%, 87.8%)
07/22 05:52:57 AM | Train: [ 18/600] Step 400/520 Loss 2.030 Prec@(1,5) (60.2%, 87.8%)
07/22 05:53:15 AM | Train: [ 18/600] Step 520/520 Loss 2.029 Prec@(1,5) (60.2%, 87.7%)
07/22 05:53:15 AM | Train: [ 18/600] Final Prec@1 60.2020%
07/22 05:53:15 AM | Valid: [ 18/600] Step 000/104 Loss 1.429 Prec@(1,5) (60.4%, 88.5%)
07/22 05:53:19 AM | Valid: [ 18/600] Step 104/104 Loss 1.680 Prec@(1,5) (56.1%, 84.1%)
07/22 05:53:19 AM | Valid: [ 18/600] Final Prec@1 56.1300%
07/22 05:53:19 AM | Epoch 18 LR 0.024938194624515332
07/22 05:53:20 AM | Train: [ 19/600] Step 000/520 Loss 1.459 Prec@(1,5) (77.1%, 92.7%)
07/22 05:53:49 AM | Train: [ 19/600] Step 200/520 Loss 1.952 Prec@(1,5) (61.7%, 88.6%)
07/22 05:54:22 AM | Train: [ 19/600] Step 400/520 Loss 1.989 Prec@(1,5) (60.9%, 88.0%)
07/22 05:54:41 AM | Train: [ 19/600] Step 520/520 Loss 1.991 Prec@(1,5) (60.9%, 88.1%)
07/22 05:54:41 AM | Train: [ 19/600] Final Prec@1 60.8560%
07/22 05:54:41 AM | Valid: [ 19/600] Step 000/104 Loss 1.227 Prec@(1,5) (64.6%, 87.5%)
07/22 05:54:45 AM | Valid: [ 19/600] Step 104/104 Loss 1.425 Prec@(1,5) (60.6%, 87.8%)
07/22 05:54:46 AM | Valid: [ 19/600] Final Prec@1 60.6200%
07/22 05:54:46 AM | Epoch 19 LR 0.024931523692103417
07/22 05:54:46 AM | Train: [ 20/600] Step 000/520 Loss 2.109 Prec@(1,5) (59.4%, 85.4%)
07/22 05:55:17 AM | Train: [ 20/600] Step 200/520 Loss 1.930 Prec@(1,5) (62.2%, 89.0%)
07/22 05:55:47 AM | Train: [ 20/600] Step 400/520 Loss 1.954 Prec@(1,5) (62.0%, 88.5%)
07/22 05:56:07 AM | Train: [ 20/600] Step 520/520 Loss 1.965 Prec@(1,5) (61.6%, 88.4%)
07/22 05:56:07 AM | Train: [ 20/600] Final Prec@1 61.6100%
07/22 05:56:07 AM | Valid: [ 20/600] Step 000/104 Loss 1.398 Prec@(1,5) (60.4%, 88.5%)
07/22 05:56:12 AM | Valid: [ 20/600] Step 104/104 Loss 1.450 Prec@(1,5) (59.8%, 87.8%)
07/22 05:56:12 AM | Valid: [ 20/600] Final Prec@1 59.7700%
07/22 05:56:12 AM | Epoch 20 LR 0.02492451194318975
07/22 05:56:12 AM | Train: [ 21/600] Step 000/520 Loss 1.820 Prec@(1,5) (63.5%, 90.6%)
07/22 05:56:44 AM | Train: [ 21/600] Step 200/520 Loss 1.891 Prec@(1,5) (62.8%, 89.2%)
07/22 05:57:15 AM | Train: [ 21/600] Step 400/520 Loss 1.914 Prec@(1,5) (62.2%, 88.9%)
07/22 05:57:33 AM | Train: [ 21/600] Step 520/520 Loss 1.923 Prec@(1,5) (62.1%, 88.9%)
07/22 05:57:33 AM | Train: [ 21/600] Final Prec@1 62.0940%
07/22 05:57:33 AM | Valid: [ 21/600] Step 000/104 Loss 1.298 Prec@(1,5) (64.6%, 88.5%)
07/22 05:57:37 AM | Valid: [ 21/600] Step 104/104 Loss 1.458 Prec@(1,5) (61.2%, 87.7%)
07/22 05:57:37 AM | Valid: [ 21/600] Final Prec@1 61.2300%
07/22 05:57:38 AM | Epoch 21 LR 0.024917159570004954
07/22 05:57:38 AM | Train: [ 22/600] Step 000/520 Loss 1.773 Prec@(1,5) (68.8%, 91.7%)
07/22 05:58:14 AM | Train: [ 22/600] Step 200/520 Loss 1.843 Prec@(1,5) (63.9%, 89.9%)
07/22 05:58:46 AM | Train: [ 22/600] Step 400/520 Loss 1.891 Prec@(1,5) (62.8%, 89.3%)
07/22 05:59:04 AM | Train: [ 22/600] Step 520/520 Loss 1.893 Prec@(1,5) (62.9%, 89.3%)
07/22 05:59:04 AM | Train: [ 22/600] Final Prec@1 62.8700%
07/22 05:59:04 AM | Valid: [ 22/600] Step 000/104 Loss 1.484 Prec@(1,5) (63.5%, 83.3%)
07/22 05:59:09 AM | Valid: [ 22/600] Step 104/104 Loss 1.519 Prec@(1,5) (60.2%, 86.7%)
07/22 05:59:09 AM | Valid: [ 22/600] Final Prec@1 60.1600%
07/22 05:59:09 AM | Epoch 22 LR 0.02490946677411807
07/22 05:59:09 AM | Train: [ 23/600] Step 000/520 Loss 1.960 Prec@(1,5) (60.4%, 89.6%)
07/22 05:59:39 AM | Train: [ 23/600] Step 200/520 Loss 1.856 Prec@(1,5) (63.5%, 89.6%)
07/22 06:00:11 AM | Train: [ 23/600] Step 400/520 Loss 1.876 Prec@(1,5) (63.1%, 89.4%)
07/22 06:00:30 AM | Train: [ 23/600] Step 520/520 Loss 1.879 Prec@(1,5) (63.1%, 89.4%)
07/22 06:00:30 AM | Train: [ 23/600] Final Prec@1 63.1000%
07/22 06:00:31 AM | Valid: [ 23/600] Step 000/104 Loss 1.600 Prec@(1,5) (63.5%, 86.5%)
07/22 06:00:34 AM | Valid: [ 23/600] Step 104/104 Loss 1.466 Prec@(1,5) (60.8%, 87.1%)
07/22 06:00:34 AM | Valid: [ 23/600] Final Prec@1 60.7500%
07/22 06:00:35 AM | Epoch 23 LR 0.024901433766430975
07/22 06:00:35 AM | Train: [ 24/600] Step 000/520 Loss 2.071 Prec@(1,5) (55.2%, 88.5%)
07/22 06:01:05 AM | Train: [ 24/600] Step 200/520 Loss 1.816 Prec@(1,5) (64.1%, 89.9%)
07/22 06:01:36 AM | Train: [ 24/600] Step 400/520 Loss 1.838 Prec@(1,5) (63.8%, 89.7%)
07/22 06:01:56 AM | Train: [ 24/600] Step 520/520 Loss 1.843 Prec@(1,5) (63.6%, 89.6%)
07/22 06:01:56 AM | Train: [ 24/600] Final Prec@1 63.5760%
07/22 06:01:57 AM | Valid: [ 24/600] Step 000/104 Loss 1.202 Prec@(1,5) (68.8%, 90.6%)
07/22 06:02:01 AM | Valid: [ 24/600] Step 104/104 Loss 1.423 Prec@(1,5) (61.5%, 87.9%)
07/22 06:02:01 AM | Valid: [ 24/600] Final Prec@1 61.4600%
07/22 06:02:02 AM | Epoch 24 LR 0.02489306076717263
07/22 06:02:02 AM | Train: [ 25/600] Step 000/520 Loss 2.304 Prec@(1,5) (52.1%, 84.4%)
07/22 06:02:34 AM | Train: [ 25/600] Step 200/520 Loss 1.791 Prec@(1,5) (65.0%, 90.3%)
07/22 06:03:04 AM | Train: [ 25/600] Step 400/520 Loss 1.814 Prec@(1,5) (64.5%, 90.1%)
07/22 06:03:22 AM | Train: [ 25/600] Step 520/520 Loss 1.828 Prec@(1,5) (64.2%, 89.9%)
07/22 06:03:22 AM | Train: [ 25/600] Final Prec@1 64.2040%
07/22 06:03:22 AM | Valid: [ 25/600] Step 000/104 Loss 1.388 Prec@(1,5) (62.5%, 87.5%)
07/22 06:03:26 AM | Valid: [ 25/600] Step 104/104 Loss 1.443 Prec@(1,5) (61.6%, 87.7%)
07/22 06:03:26 AM | Valid: [ 25/600] Final Prec@1 61.6300%
07/22 06:03:27 AM | Epoch 25 LR 0.024884348005893044
07/22 06:03:27 AM | Train: [ 26/600] Step 000/520 Loss 1.938 Prec@(1,5) (61.5%, 90.6%)
07/22 06:03:57 AM | Train: [ 26/600] Step 200/520 Loss 1.771 Prec@(1,5) (64.6%, 90.6%)
